,Features,Importances
5003,PF3D7_1426400,0.005410003820546644
1836,PF3D7_0725700,0.004556320243508958
2676,PF3D7_1007100,0.003991017144467222
2943,PF3D7_1034000,0.0038432886092254113
2525,PF3D7_0929800,0.0037094068517823163
3817,PF3D7_1232900,0.003404006632655503
1592,PF3D7_0632700,0.0033532133848805396
3039,PF3D7_1104500,0.0032069716995325216
2202,PF3D7_0830700,0.003007119756845665
1022,PF3D7_0507000,0.0027924875721326804
1453,PF3D7_0618200,0.0027271310511825094
4258,PF3D7_1322900,0.002602903265666904
175,PF3D7_0108200,0.0025436506302190984
4106,PF3D7_1307700,0.0025312440089079943
5041,PF3D7_1430100,0.0025007264649643413
854,PF3D7_0415600,0.0023922382934822343
5047,PF3D7_1430700,0.002313027429402626
1293,PF3D7_0602300,0.002292113313495743
1569,PF3D7_0629700,0.0022860453494714245
4670,PF3D7_1364700,0.002281060898049092
3571,PF3D7_1208000,0.0022757063373403975
1432,PF3D7_0616100,0.0022756105079758415
3493,PF3D7_1200100,0.0022199967849820153
2701,PF3D7_1009700,0.0021649557002526836
4452,PF3D7_1342500,0.002157239396403292
3976,PF3D7_1249200,0.0020305130313577344
2221,PF3D7_0832600,0.0019917205732280234
2069,PF3D7_0817200,0.0019677678092909863
1396,PF3D7_0612500,0.0019626930374074788
3641,PF3D7_1215100,0.001949010339106066
3519,PF3D7_1202700,0.0019182659325612395
3248,PF3D7_1125500,0.0018999458528998136
4788,PF3D7_1404200,0.0018772710159132204
4052,PF3D7_1302300,0.0018214641412670728
4619,PF3D7_1359500,0.0018119007808801986
5228,PF3D7_1448800,0.0017751741527826151
381,PF3D7_0214100,0.0017496778726455618
4342,PF3D7_1331300,0.0017390466982518762
3882,PF3D7_1239500,0.0017325268461492575
1949,PF3D7_0805000,0.0017163874977906273
1333,PF3D7_0606300,0.0017092345161632556
3288,PF3D7_1129600,0.001699797484501456
2563,PF3D7_0933600,0.0016969168332298728
3834,PF3D7_1234700,0.0016835369157939524
2530,PF3D7_0930300,0.0016679604609910834
2680,PF3D7_1007500,0.0016067835290307056
978,PF3D7_0502500,0.0015933581834309419
2884,PF3D7_1028100,0.0015809829858922588
3530,PF3D7_1203800,0.0015610859580408728
5038,PF3D7_1429800,0.0015598905175893082
958,PF3D7_0500500,0.001535607476468487
3796,PF3D7_1230700,0.0015084877205499276
3634,PF3D7_1214400,0.0015022922115178485
1318,PF3D7_0604800,0.001487453916497268
4092,PF3D7_1306300,0.0014428254117327514
1534,PF3D7_0626200,0.0014385472578643116
568,PF3D7_0310200,0.0014250636650989133
250,PF3D7_0200900,0.0014083247297694168
4239,PF3D7_1321000,0.001395712357512517
5386,PF3D7_1464600,0.0013896319159028916
3489,PF3D7_1150100,0.0013522017511300947
2713,PF3D7_1010900,0.0013235621715566427
2570,PF3D7_0934300,0.001306731110664624
2952,PF3D7_1034900,0.0012977021015033853
2247,PF3D7_0901900,0.0012892062407498966
3486,PF3D7_1149800,0.0012606429572778492
4011,PF3D7_1252800,0.0012606183588474817
1425,PF3D7_0615400,0.0012567909399123572
5180,PF3D7_1444000,0.001244902198043732
4206,PF3D7_1317700,0.0012277742872122115
4025,PF3D7_1254400,0.001221657946538991
2665,PF3D7_1006000,0.0012209114183918757
2245,PF3D7_0901700,0.0012183788592047577
2662,PF3D7_1005700,0.0012163455963786801
2834,PF3D7_1023000,0.0012123186431912127
2154,PF3D7_0825800,0.001205880274277112
3909,PF3D7_1242500,0.0011975162886311706
5102,PF3D7_1436200,0.0011839755843338724
3076,PF3D7_1108200,0.0011839392617629925
4390,PF3D7_1336200,0.001178681392727966
2980,PF3D7_1037900,0.001173818571567677
37,MAL14.1184520.1184577....k,0.0011628155209391958
4039,PF3D7_1300700,0.0011588460389809934
10,MAL10.947605.947888.b..kr..,0.0011287284555012934
5020,PF3D7_1428000,0.0011161965740734056
5304,PF3D7_1456400,0.0011149985286536756
2893,PF3D7_1029000,0.0011082318779915977
4649,PF3D7_1362600,0.0010908787994616236
1568,PF3D7_0629600,0.0010906480169310712
3838,PF3D7_1235100,0.001083054648675782
4844,PF3D7_1409700,0.0010794241678499907
1722,PF3D7_0714100,0.0010488361046232767
2709,PF3D7_1010500,0.0010487194019311447
1495,PF3D7_0622400,0.0010480914400780824
1109,PF3D7_0515800,0.0010465456780957407
1482,PF3D7_0621100,0.0010357855216383942
1096,PF3D7_0514500,0.0010190023933604546
99,MAL9.937155.937259.....r..,0.0010139063549026491
1183,PF3D7_0523200,0.0010122089730236852
490,PF3D7_0302400,0.00100120260906643
5388,PF3D7_1464800,0.0009962415463002476
2168,PF3D7_0827200,0.000988694226433376
3523,PF3D7_1203100,0.0009879582725417573
1766,PF3D7_0718600,0.000987046669514466
4234,PF3D7_1320500,0.0009858127807703836
1440,PF3D7_0616900,0.000960850741615178
1137,PF3D7_0518600,0.0009442502232898784
2855,PF3D7_1025100,0.0009333067632690695
3972,PF3D7_1248800,0.0009286884232043565
1336,PF3D7_0606600,0.0009205245941141196
685,PF3D7_0321900,0.0009082409789124427
356,PF3D7_0211600,0.0009071410276441973
4318,PF3D7_1328900,0.0008929963291150195
3088,PF3D7_1109400,0.0008853800760125974
5262,PF3D7_1452200,0.0008834516420622902
734,PF3D7_0402700,0.0008827669220174793
2787,PF3D7_1018300,0.0008789508681060282
5403,PF3D7_1466300,0.0008752574512761504
750,PF3D7_0404500,0.0008745334392254558
2081,PF3D7_0818500,0.0008737250653615581
4665,PF3D7_1364200,0.0008645740699995875
3659,PF3D7_1217000,0.00086394805412612
809,PF3D7_0410500,0.0008634492233080762
5286,PF3D7_1454600,0.0008632870488538802
4601,PF3D7_1357700,0.0008517275772430446
3807,PF3D7_1231900,0.0008403753109676314
1142,PF3D7_0519100,0.0008230135098300261
2984,PF3D7_1038300,0.0008227096907534026
