#node	x_position	y_position	color	annotation
PFD0015c	0.87106901920083	0.828048780487805	rgb(117,239,239)	Rifin
PF14_0147	0.487156201349248	0.348536585365854	rgb(136,239,117)	ATP-dependent protease, putative; Belongs to the peptidase S16 family
PF10_0098	0.194317592112091	0.381707317073171	rgb(239,219,117)	Conserved Plasmodium protein
PF11_0264	0.501634665282823	0.721219512195122	rgb(204,239,117)	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
PF11_0290	0.305474831344058	0.156341463414634	rgb(201,239,117)	Conserved Plasmodium protein
PFI0910w	0.683316035288012	0.48219512195122	rgb(117,117,239)	Uncharacterized protein; DNA helicase, putative
PFF0815w	0.347509081473793	0.348048780487805	rgb(117,149,239)	Uncharacterized protein; Malate:quinone oxidoreductase, putative
PF11_0440	0.8547223663726	0.340731707317073	rgb(189,239,117)	Conserved Plasmodium protein
PFE1610w	0.285391800726518	0.742682926829268	rgb(117,178,239)	Uncharacterized protein
PFL0850w	0.662298910223145	0.517804878048781	rgb(117,117,239)	Uncharacterized protein; Anaphase promoting complex subunit 10
PFF0600w	0.859859885832901	0.669024390243902	rgb(117,156,239)	Uncharacterized protein
PF14_0270	0.484820965230929	0.40609756097561	rgb(118,239,117)	Apicoplast ribosomal protein L15, putative
PFD0565c	0.515646081992735	0.650487804878049	rgb(117,220,239)	Uncharacterized protein; DEAD box ATP-dependent RNA helicase, putative
PF14_0314	0.554411001556824	0.367073170731707	rgb(117,239,125)	Uncharacterized protein; Chromatin assembly factor 1 P55 subunit, putative
PFL2615w	0.926647638816814	0.716341463414634	rgb(117,117,239)	Rifin
PFC0675c	0.333497664763882	0.463658536585366	rgb(117,239,226)	Mitochondrial ribosomal protein L29/L47, putative
PF11_0202	0.448391281785158	0.101707317073171	rgb(209,239,117)	Clathrin coat assembly protein, putative; Belongs to the adaptor complexes medium subunit family
PFB0423c	0.148546964193046	0.572926829268293	rgb(117,239,192)	Uncharacterized protein
GTP-CH	0.561883757135444	0.531951219512195	rgb(117,117,239)	GTP cyclohydrolase I
PFA_0675w	0.756642449403217	0.887073170731707	rgb(117,239,184)	RESA-like protein with DnaJ domain, putative
PFL1260w	0.82716658017644	0.784146341463415	rgb(117,117,239)	Uncharacterized protein; Hydrolase / phosphatase, putative
PFD1005c	0.317151011935651	0.817317073170732	rgb(117,211,239)	Erythrocyte membrane protein 1, PfEMP1
PF14_0720	0.70433316035288	0.580731707317073	rgb(117,239,156)	Uncharacterized protein
PFD0415c	0.266242864556305	0.900731707317073	rgb(117,225,239)	Uncharacterized protein
PFI0355c	0.562350804359107	0.302682926829268	rgb(117,119,239)	ATP-dependent protease HslVU, ATPase subunit; ATP-dependent heat shock protein, putative
PFB0495w	0.148546964193046	0.183658536585366	rgb(117,239,194)	Conserved Plasmodium protein
PF13_0117	0.798676699532953	0.349512195121951	rgb(164,239,117)	TBC domain containing protein
PFE1265w	0.12893098079917	0.852926829268293	rgb(117,180,239)	G-protein coupled receptor, putative
PFL0055c	0.198053969901401	0.561219512195122	rgb(117,117,239)	RESA-like protein with PHIST and DnaJ domains
PFL1280w	0.109314997405293	0.361219512195122	rgb(117,117,239)	RAP protein, putative
MAL7P1.25	0.822029060716139	0.272439024390244	rgb(239,155,117)	Cytoskeleton associated protein, putative
MAL8P1.20	0.55394395433316	0.825609756097561	rgb(239,164,117)	Uncharacterized protein
PF10_0412	0.488557343020239	0.852926829268293	rgb(226,239,117)	Uncharacterized protein; Topoisomerase, putative
PF14_0386	0.703399065905553	0.192439024390244	rgb(117,239,132)	Uncharacterized protein; Adaptor complexes medium subunit family
PF10_0173	0.357784120394395	0.17	rgb(239,225,117)	Conserved Plasmodium protein
PF07_0138	0.305474831344058	0.176829268292683	rgb(239,190,117)	Rifin
PF13_0003	0.361987545407369	0.87	rgb(179,239,117)	Erythrocyte membrane protein 1, PfEMP1
PF11_0540a	0.357784120394395	0.149512195121951	rgb(180,239,117)	Conserved Plasmodium protein
PF14_0278	0.808017644006227	0.436341463414634	rgb(117,239,118)	Uncharacterized protein; ATP-dependent DNA helicase, putative
PFC0170c	0.253165542293721	0.705609756097561	rgb(117,239,215)	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex; Dihydrolipoamide acyltransferase, putative
PFF0855c	0.730487804878049	0.914390243902439	rgb(117,146,239)	Rifin
PFD0040c	0.514711987545407	0.108536585365854	rgb(117,237,239)	Rifin
L22	0.405889984431759	0.452926829268293	rgb(117,239,154)	Organelle ribosomal protein L22/L17, putative; Belongs to the universal ribosomal protein uL22 family
MAL13P1.322	0.672106901920083	0.689512195121951	rgb(239,130,117)	Uncharacterized protein; Splicing factor, putative
PF14_0566	0.885080435910742	0.625121951219512	rgb(117,239,150)	Uncharacterized protein
PFA_0150c	0.645485210171251	0.539756097560976	rgb(117,239,169)	Uncharacterized protein
PF11_0038	0.70433316035288	0.73	rgb(222,239,117)	Plasmodium exported protein
PFI1795c	0.115853658536585	0.320243902439024	rgb(117,117,239)	Uncharacterized protein
MAL7P1.154	0.213933575505968	0.538780487804878	rgb(239,153,117)	Uncharacterized protein
PFD1010w	0.318552153606642	0.108536585365854	rgb(117,210,239)	Rifin
MAL13P1.127	0.338168137000519	0.736829268292683	rgb(178,171,0)	Putative uncharacterized protein
PFF0155w	0.262506486766995	0.622682926829268	rgb(117,172,239)	Bcs1 protein, putative
PFL2078w	0.926647638816814	0.074390243902439	rgb(117,117,239)	Conserved Plasmodium protein
PFL1060c	0.625869226777374	0.928048780487805	rgb(117,117,239)	Uncharacterized protein
Syn2	0.920108977685522	0.600243902439024	rgb(117,117,239)	SNARE protein
PFL2440w	0.254099636741048	0.165121951219512	rgb(117,117,239)	DNA repair protein rhp16, putative
PFL2155w	0.926647638816814	0.265609756097561	rgb(117,117,239)	Conserved Plasmodium protein
1-cyspxn	0.601115723923197	0.549024390243902	rgb(239,210,117)	Uncharacterized protein; 1-cys peroxiredoxin
PFE0790c	0.374130773222626	0.829024390243903	rgb(117,190,239)	BolA-like protein, putative; Belongs to the BolA/IbaG family
PF10_0241	0.841645044110016	0.40219512195122	rgb(239,230,117)	Conserved Plasmodium protein
PF11_0337	0.389543331603529	0.419268292682927	rgb(198,239,117)	Mitochondrial ribosomal protein L2
PFE0050w	0.305941878567722	0.525121951219512	rgb(117,205,239)	Uncharacterized protein
MAL13P1.212	0.76318111053451	0.627560975609756	rgb(150,101,255)	Sporozoite microneme protein (SPECT)
PFL2010c	0.600181629475869	0.610975609756098	rgb(117,117,239)	Uncharacterized protein; DEAD/DEAH box helicase, putative
PF10_0393	0.187778930980799	0.245121951219512	rgb(234,239,117)	Rifin
PF10_0272	0.443720809548521	0.499268292682927	rgb(239,234,117)	60S ribosomal protein L3, putative; Belongs to the universal ribosomal protein uL3 family
PFE0150c	0.579164504411002	0.36219512195122	rgb(117,203,239)	Uncharacterized protein; 4-diphosphocytidyl-2c-methyl-D-erythritol kinase (CMK), putative
PFD1205w	0.298936170212766	0.764146341463415	rgb(117,209,239)	Putative uncharacterized protein
PF11_0385	0.559548521017125	0.333414634146341	rgb(194,239,117)	UVB-resistance protein UVR8 homologue
PF11_0504	0.639880643487286	0.774878048780488	rgb(185,239,117)	Plasmodium exported protein (Hyp11)
PF13_0170	0.419434353918007	0.553414634146342	rgb(159,239,117)	Glutamine-tRNA ligase; Glutaminyl-tRNA synthetase, putative; Belongs to the class-I aminoacyl-tRNA synthetase family
PF13_0015	0.513310845874416	0.801707317073171	rgb(177,239,117)	Uncharacterized protein
MAL8P1.45	0.828567721847431	0.743658536585366	rgb(239,169,117)	Uncharacterized protein
MAL13P1.31	0.495563051375195	0.44219512195122	rgb(239,128,117)	Uncharacterized protein; SAM dependent methyltransferase, putative; Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
PF13_0099	0.581966787752984	0.704146341463415	rgb(165,239,117)	Uncharacterized protein
PFF1325c	0.161624286455631	0.914390243902439	rgb(117,137,239)	C3h4-type ring finger protein, putative
PFF0235c	0.447457187337831	0.718780487804878	rgb(117,165,239)	RAP protein, putative
PF14_0311	0.161624286455631	0.361219512195122	rgb(117,239,124)	Uncharacterized protein; SF-assemblin, putative
PFD0505c	0.135469641930462	0.477317073170732	rgb(117,221,239)	Protein phosphatase, putative
PFD1220c	0.900492994291645	0.204146341463415	rgb(117,208,239)	Uncharacterized protein; Stevor
PFB0215c	0.148546964193046	0.695853658536585	rgb(117,239,190)	Uncharacterized protein; 3'-5' exonuclease, putative
PF14_0181	0.495096004151531	0.873414634146342	rgb(129,239,117)	Uncharacterized protein; Calmodulin, putative
PF11_0058	0.541800726517904	0.589512195121951	rgb(221,239,117)	Uncharacterized protein; RNA polymerase subunit, putative
PFE0855c	0.652023871302543	0.907560975609756	rgb(117,189,239)	Uncharacterized protein
PFF0950w	0.495096004151531	0.914390243902439	rgb(117,143,239)	Uncharacterized protein
PF14_0166	0.395147898287494	0.608536585365854	rgb(132,239,117)	Lysine-tRNA ligase, putative
PFF0665c	0.818292682926829	0.297804878048781	rgb(117,154,239)	Syntaxin binding protein, putative; Belongs to the STXBP/unc-18/SEC1 family
PFA_0155c	0.338168137000519	0.129024390243902	rgb(117,239,170)	Uncharacterized protein
PF14_0031a	0.774390243902439	0.534878048780488	rgb(143,239,117)	Uncharacterized protein
PF07_0120	0.786533471717696	0.299268292682927	rgb(239,188,117)	Allantoicase
PFI1195c	0.881811105345096	0.31	rgb(117,117,239)	Thiamin pyrophosphokinase, putative
PF11_0134	0.181240269849507	0.852926829268293	rgb(214,239,117)	Conserved Plasmodium protein
PFI0080w	0.37086144265698	0.0948780487804878	rgb(117,127,239)	Stevor
PF14_0400	0.161624286455631	0.135853658536585	rgb(117,239,133)	Ribosome biogenesis GTP-binding protein YsxC; GTP binding protein, putative
PF14_0151	0.867799688635184	0.873414634146342	rgb(134,239,117)	RNA-binding protein Nova-1, putative
PFD0600c	0.426440062272963	0.460243902439024	rgb(117,219,239)	Mitochondrial ribosomal protein S12, putative
PfVAMP8	0.567021276595745	0.254390243902439	rgb(101,255,163)	SNARE protein
PFC1040w	0.390477426050856	0.115365853658537	rgb(117,239,238)	Uncharacterized protein
PF13_0122	0.644084068500259	0.63	rgb(162,239,117)	Uncharacterized protein; RRM containing cyclophilin
PF11_0488	0.54133367929424	0.184634146341463	rgb(186,239,117)	Ser/Thr protein kinase
PFI0010c	0.802413077322263	0.828536585365854	rgb(117,133,239)	Rifin
